tmp.site,tmp.area,Lb,Wb,X1,ALPHA,BETA,Ks,Kb,Kz,POR,Qthresh,Rs,Rb1,Rb2,Prec,Frac4Rise,RecessionRMSE,SDRError
01134500,195000000.0,31487.323763768436,527.6222758839659,1.8536636516905602,0.0701148142143897,11.968426152843943,21.812720169374625,6.479320632310732,0.09821441021078287,0.015398931116931828,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5192425922789354,0.11642953255303301
01134500,195000000.0,30162.075662857522,528.184114521692,1.152599115066806,0.06950079561091733,5.383832467380094,18.929092090899832,12.377784013812024,25.250080863707844,0.01588633242602569,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5520929186373138,0.04980890360902057
01134500,195000000.0,54338.04898262786,372.5368420441124,1.2881990264619236,0.062095861361268316,10.735815997664432,18.92132085344977,7.607299283973571,0.4783216596397257,0.015679337814071485,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4900360371303896,0.19612316256441198
01134500,195000000.0,30025.345160710203,518.2670136714852,1.2855577226085324,0.06343875633131106,9.84408132039415,19.33486915615758,7.707229285662295,0.08102501087953413,0.015390288595040843,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5725886953315216,0.015851167470404826
01134500,195000000.0,30027.524402025327,522.6765628771768,1.8925098859083906,0.06614615619457072,9.773380173345979,21.899433033853494,6.001441662822739,0.6196110635697847,0.015328857206988563,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4987181696628302,0.16336191962984747
01134500,195000000.0,51976.812638971285,369.9197254772091,3.8565294101552094,0.03824879888692217,5.674416847594699,38.894514122855824,12.71553055115802,4.481122316163869,0.015177405674561191,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.4303934119758696,0.4640126836039292
01134500,195000000.0,30363.43155000613,518.5403838795369,1.2855352886997504,0.06218729194588708,9.676926809762413,19.334861132551616,7.683638968510096,0.08590629233054863,0.015191043775389771,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5712268636234659,0.019981994186784813
01134500,195000000.0,30963.039341812368,526.7789035952337,1.18085254594088,0.07011051949522551,5.4274925546020185,21.504498595179204,11.039652062976627,0.11059608349146796,0.015367603370770392,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5415855278205339,0.07730774340158608
01134500,195000000.0,51882.172143473625,369.10650751890773,2.935854370980293,0.03811350495867486,5.625128569742581,38.84419434530756,13.600364095524347,0.40062546697956924,0.01585346752594573,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.43926852186303195,0.4032434054039088
01134500,195000000.0,44453.796501698154,593.1471269009053,1.3167031174252555,0.03640031901091066,4.4623902311548465,71.64022713268645,14.15285192873628,4.1982527135350765,0.015849346345096913,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.457825079630174,0.2894643243817542
01134500,195000000.0,29924.213525688483,541.5858047175883,1.1732721485340898,0.07001361973938601,5.602474163757777,19.192732943264915,13.407789652801066,0.5556637782228303,0.016095613442072377,89769.7499172766,-0.34443531189634247,-0.0664746497102641,-0.07816841670972954,3615.0600261029067,0.05,0.5627977421621968,0.031811348997883626
