"Xb","Z","S","Q"
584.77,5.8477,16796000,351240
588.93,5.8893,16912000,353740
593.12,5.9312,17028000,356250
597.34,5.9734,17145000,358790
601.59,6.0159,17264000,361340
605.87,6.0587,17382000,363910
610.18,6.1018,17502000,366500
614.52,6.1452,17623000,369110
618.89,6.1889,17744000,371730
623.29,6.2329,17866000,374380
627.73,6.2773,17989000,377040
632.19,6.3219,18113000,379720
636.69,6.3669,18237000,382420
641.22,6.4122,18362000,385140
645.78,6.4578,18489000,387880
650.37,6.5037,18616000,390640
655,6.55,18743000,393420
659.66,6.5966,18872000,396220
664.35,6.6435,19002000,399040
669.08,6.6908,19132000,401880
673.84,6.7384,19263000,404730
678.63,6.7863,19395000,407610
683.46,6.8346,19528000,410510
688.32,6.8832,19662000,413430
693.21,6.9321,19797000,416370
698.15,6.9815,19933000,419340
703.11,7.0311,20069000,422320
708.11,7.0811,20207000,425320
713.15,7.1315,20345000,428350
718.22,7.1822,20484000,431400
723.33,7.2333,20624000,434460
728.48,7.2848,20765000,437560
733.66,7.3366,20907000,440670
738.88,7.3888,21050000,443800
744.14,7.4414,21194000,446960
749.43,7.4943,21339000,450140
754.76,7.5476,21485000,453340
760.13,7.6013,21631000,456570
765.54,7.6554,21779000,459810
770.98,7.7098,21928000,463080
776.47,7.7647,22077000,466380
781.99,7.8199,22228000,469700
787.55,7.8755,22379000,473040
793.16,7.9316,22532000,476400
798.8,7.988,22685000,479790
804.48,8.0448,22840000,483200
810.2,8.102,22995000,486640
815.97,8.1597,23151000,490100
821.77,8.2177,23309000,493590
827.62,8.2762,23467000,497100
833.5,8.335,23627000,500640
839.43,8.3943,23788000,504200
845.4,8.454,23949000,507790
851.42,8.5142,24112000,511400
857.47,8.5747,24275000,515040
863.57,8.6357,24440000,518700
869.72,8.6972,24606000,522390
875.9,8.759,24773000,526100
882.13,8.8213,24941000,529850
888.41,8.8841,25110000,533620
894.73,8.9473,25280000,537410
901.09,9.0109,25451000,541230
907.5,9.075,25623000,545090
913.96,9.1396,25797000,548960
920.46,9.2046,25971000,552870
927.01,9.2701,26147000,556800
933.6,9.336,26323000,560760
940.24,9.4024,26501000,564750
946.93,9.4693,26680000,568770
953.67,9.5367,26860000,572810
960.45,9.6045,27042000,576890
967.29,9.6729,27224000,580990
974.17,9.7417,27408000,585120
981.1,9.811,27592000,589290
988.07,9.8807,27778000,593480
995.1,9.951,27965000,597700
1002.2,10.022,28153000,601950
1009.3,10.093,28343000,606230
1016.5,10.165,28533000,610550
1023.7,10.237,28725000,614890
1031,10.31,28918000,619260
1038.3,10.383,29112000,623670
1045.7,10.457,29308000,628110
1053.2,10.532,29504000,632570
1060.7,10.607,29702000,637070
1068.2,10.682,29901000,641610
1075.8,10.758,30102000,646170
1083.5,10.835,30303000,650770
1091.2,10.912,30506000,655400
1098.9,10.989,30710000,660060
1106.7,11.067,30916000,664750
1114.6,11.146,31123000,669480
1122.5,11.225,31331000,674240
1130.5,11.305,31540000,679040
1138.6,11.386,31750000,683870
1146.7,11.467,31962000,688740
1154.8,11.548,32175000,693640
1163,11.63,32390000,698570
1171.3,11.713,32606000,703540
1179.6,11.796,32823000,708540
1188,11.88,33041000,713580
1196.5,11.965,33261000,718660
1205,12.05,33482000,723770
1213.6,12.136,33704000,728920
1222.2,12.222,33928000,734110
1230.9,12.309,34153000,739330
1239.7,12.397,34380000,744590
1248.5,12.485,34608000,749880
1257.4,12.574,34837000,755220
1266.3,12.663,35068000,760590
1275.3,12.753,35300000,766000
1284.4,12.844,35534000,771450
1293.5,12.935,35769000,776940
1302.7,13.027,36005000,782460
1312,13.12,36243000,788030
1321.3,13.213,36482000,793640
1330.7,13.307,36723000,799280
1340.2,13.402,36965000,804970
1349.7,13.497,37208000,810690
1359.3,13.593,37453000,816460
1369,13.69,37700000,822270
1378.7,13.787,37948000,828120
1388.5,13.885,38197000,834010
1398.4,13.984,38448000,839940
1408.4,14.084,38700000,845920
1418.4,14.184,38954000,851930
1428.5,14.285,39209000,857990
1438.6,14.386,39466000,864100
1448.9,14.489,39725000,870240
1459.2,14.592,39984000,876430
1469.5,14.695,40246000,882670
1480,14.8,40509000,888950
1490.5,14.905,40773000,895270
1501.1,15.011,41039000,901640
1511.8,15.118,41307000,908050
1522.6,15.226,41576000,914510
1533.4,15.334,41847000,921020
1544.3,15.443,42119000,927570
1555.3,15.553,42393000,934170
1566.3,15.663,42668000,940810
1577.5,15.775,42945000,947510
1588.7,15.887,43224000,954250
1600,16,43504000,961040
1611.4,16.114,43786000,967870
1622.9,16.229,44069000,974760
1634.4,16.344,44354000,981690
1646,16.46,44641000,988670
1657.7,16.577,44929000,995710
1669.5,16.695,45219000,1002800
1681.4,16.814,45510000,1009900
1693.4,16.934,45804000,1017100
1705.4,17.054,46098000,1024300
1717.5,17.175,46395000,1031600
1729.8,17.298,46693000,1039000
1742.1,17.421,46993000,1046400
1754.5,17.545,47294000,1053800
1766.9,17.669,47597000,1061300
1779.5,17.795,47902000,1068800
1792.2,17.922,48209000,1076500
1804.9,18.049,48517000,1084100
1817.8,18.178,48827000,1091800
1830.7,18.307,49139000,1099600
1843.7,18.437,49452000,1107400
1856.8,18.568,49767000,1115300
1870,18.7,50084000,1123200
1883.3,18.833,50402000,1131200
1896.7,18.967,50722000,1139300
1910.2,19.102,51044000,1147400
1923.8,19.238,51368000,1155500
1937.5,19.375,51693000,1163700
1951.3,19.513,52020000,1172000
1965.2,19.652,52349000,1180400
1979.1,19.791,52680000,1188800
1993.2,19.932,53012000,1197200
2007.4,20.074,53346000,1205700
2021.7,20.217,53682000,1214300
2036.1,20.361,54020000,1222900
2050.5,20.505,54359000,1231600
2065.1,20.651,54701000,1240400
2079.8,20.798,55044000,1249200
2094.6,20.946,55388000,1258100
2109.5,21.095,55735000,1267100
2124.5,21.245,56083000,1276100
2139.6,21.396,56433000,1285200
2154.9,21.549,56785000,1294300
2170.2,21.702,57139000,1303500
2185.6,21.856,57495000,1312800
2201.2,22.012,57852000,1322100
2216.8,22.168,58211000,1331500
2232.6,22.326,58572000,1341000
2248.5,22.485,58935000,1350500
2264.5,22.645,59299000,1360100
2280.6,22.806,59666000,1369800
2296.8,22.968,60034000,1379600
2313.1,23.131,60404000,1389400
2329.6,23.296,60776000,1399300
2346.2,23.462,61149000,1409200
2362.9,23.629,61525000,1419200
2379.7,23.797,61902000,1429300
2396.6,23.966,62281000,1439500
2413.6,24.136,62662000,1449700
2430.8,24.308,63045000,1460000
2448.1,24.481,63430000,1470400
2465.5,24.655,63816000,1480900
2483.1,24.831,64204000,1491400
2500.7,25.007,64594000,1502000
2518.5,25.185,64986000,1512700
2536.4,25.364,65380000,1523500
2554.5,25.545,65775000,1534300
2572.6,25.726,66173000,1545200
2590.9,25.909,66572000,1556200
2609.4,26.094,66973000,1567300
2627.9,26.279,67376000,1578400
2646.6,26.466,67780000,1589700
2665.5,26.655,68187000,1601000
2684.4,26.844,68595000,1612400
2703.5,27.035,69005000,1623800
2722.7,27.227,69417000,1635400
2742.1,27.421,69830000,1647000
2761.6,27.616,70246000,1658700
2781.3,27.813,70663000,1670500
2801,28.01,71082000,1682400
2821,28.21,71503000,1694400
2841,28.41,71926000,1706400
2861.2,28.612,72350000,1718600
2881.6,28.816,72776000,1730800
2902.1,29.021,73204000,1743100
2922.7,29.227,73634000,1755500
2943.5,29.435,74065000,1768000
2964.5,29.645,74498000,1780600
2985.6,29.856,74933000,1793300
3006.8,30.068,75370000,1806000
3028.2,30.282,75808000,1818900
3049.7,30.497,76248000,1831800
3071.4,30.714,76690000,1844800
3093.3,30.933,77134000,1857900
3115.3,31.153,77579000,1871200
3137.4,31.374,78026000,1884500
3159.8,31.598,78474000,1897900
3182.2,31.822,78925000,1911400
3204.9,32.049,79377000,1925000
3227.7,32.277,79830000,1938700
3250.6,32.506,80285000,1952500
3273.8,32.738,80742000,1966400
3297,32.97,81201000,1980300
3320.5,33.205,81661000,1994400
3344.1,33.441,82123000,2008600
3367.9,33.679,82586000,2022900
3391.9,33.919,83051000,2037300
3416,34.16,83517000,2051800
3440.3,34.403,83985000,2066400
3464.8,34.648,84454000,2081100
3489.4,34.894,84925000,2095900
3514.2,35.142,85398000,2110800
3539.2,35.392,85872000,2125800
3564.4,35.644,86347000,2140900
3589.8,35.898,86824000,2156200
3615.3,36.153,87302000,2171500
3641,36.41,87782000,2186900
3666.9,36.669,88263000,2202500
3693,36.93,88746000,2218200
3719.3,37.193,89229000,2233900
3745.7,37.457,89715000,2249800
3772.4,37.724,90201000,2265800
3799.2,37.992,90689000,2282000
3826.2,38.262,91178000,2298200
3853.5,38.535,91668000,2314500
3880.9,38.809,92160000,2331000
3908.5,39.085,92652000,2347600
3936.3,39.363,93146000,2364300
3964.3,39.643,93641000,2381100
3992.5,39.925,94138000,2398000
4020.9,40.209,94635000,2415100
4049.5,40.495,95133000,2432300
4078.3,40.783,95633000,2449600
4107.3,41.073,96133000,2467000
4136.5,41.365,96635000,2484600
4165.9,41.659,97137000,2502200
4195.6,41.956,97640000,2520000
4225.4,42.254,98145000,2538000
4255.5,42.555,98650000,2556000
4285.7,42.857,99156000,2574200
4316.2,43.162,99662000,2592500
4346.9,43.469,100170000,2611000
4377.9,43.779,100680000,2629500
4409,44.09,101190000,2648200
4440.4,44.404,101700000,2667100
4472,44.72,102210000,2686000
4503.8,45.038,102720000,2705100
4535.8,45.358,103230000,2724400
4568.1,45.681,103740000,2743800
4600.6,46.006,104250000,2763300
4633.3,46.333,104770000,2782900
4666.2,46.662,105280000,2802700
4699.4,46.994,105790000,2822700
4732.9,47.329,106310000,2842800
4766.5,47.665,106820000,2863000
4800.4,48.004,107330000,2883300
4834.6,48.346,107850000,2903900
4869,48.69,108360000,2924500
4903.6,49.036,108880000,2945300
4938.5,49.385,109390000,2966300
4973.6,49.736,109910000,2987400
5009,50.09,110420000,3008600
5044.6,50.446,110940000,3030000
5080.5,50.805,111450000,3051600
5116.7,51.167,111960000,3073300
5153.1,51.531,112480000,3095100
5189.7,51.897,112990000,3117200
5226.6,52.266,113500000,3139300
5263.8,52.638,114010000,3161700
5301.3,53.013,114530000,3184200
5339,53.39,115040000,3206800
5377,53.77,115550000,3229600
5415.2,54.152,116060000,3252600
5453.7,54.537,116560000,3275700
5492.5,54.925,117070000,3299000
5531.6,55.316,117580000,3322500
5570.9,55.709,118080000,3346100
5610.6,56.106,118590000,3369900
5650.5,56.505,119090000,3393900
5690.7,56.907,119590000,3418100
5731.2,57.312,120090000,3442400
